un. medida,predicted,texto
comp,"unidade,litro,grama,comp,caixa,conjunto,galao,metro,m3,ampola",espironolactona 9 mg comp  lt 9
comp,"grama,unidade,comp,conjunto,litro,ampola,kg,metro,m3,caixa",halo 9 mg haloperidol 9 cpr c 9 
comp,"comp,litro,grama,unidade,ampola,conjunto,metro,m3,caixa,frasco",nimesulida 9 mg cpr
comp,"comp,grama,litro,unidade,conjunto,frasco,caixa,metro,ampola,rolo",captopril 9 mg cpr
comp,"comp,frasco,grama,caixa,ampola,litro,unidade,metro,conjunto,rolo",carbamazepina 9 mg c 9 cx 9 comp  teuto 
comp,"comp,unidade,litro,metro,grama,conjunto,frasco,ampola,caixa,kg",artrosil 9 mg c 9 caps
comp,"comp,unidade,litro,frasco,grama,m3,caixa,conjunto,metro,ampola",atroveran comp 9 x 9
comp,"comp,grama,litro,unidade,conjunto,frasco,caixa,metro,ampola,rolo",captopril 9 mg cpr
comp,"comp,litro,unidade,ampola,grama,conjunto,metro,galao,caixa,kg",dipirona sodica 9 mg comp  hosp
conjunto,"grama,frasco,litro,unidade,comp,caixa,metro,kg,ampola,rolo",coloracao panotico rapido conj  9 x 9 ml
conjunto,"conjunto,grama,m3,caixa,metro,unidade,litro,ampola,galao,kg",jg lona freio diant tras vw 9 9 9
conjunto,"comp,grama,frasco,unidade,ampola,caixa,metro,conjunto,litro,kg",coloracao panotico rapido conj lote 9 validade 
conjunto,"conjunto,litro,comp,grama,metro,frasco,unidade,rolo,ampola,caixa",jg pastilha freio
conjunto,"conjunto,metro,comp,litro,grama,unidade,kit,caixa,rolo,m3",jg pastilha freio dianteiro
conjunto,"conjunto,litro,grama,unidade,galao,metro,kit,caixa,rolo,comp",jogo de pastilhas do freio diant
conjunto,"conjunto,litro,comp,grama,frasco,caixa,metro,ampola,unidade,rolo",conjunto para circulacao extracorporea neonato
conjunto,"conjunto,litro,comp,grama,metro,frasco,unidade,rolo,ampola,caixa",jg pastilha freio
conjunto,"conjunto,grama,ampola,litro,kg,caixa,metro,comp,galao,rolo",conjunto de caminh o tipo ca amba
conjunto,"unidade,litro,caixa,comp,grama,metro,conjunto,m3,galao,ampola",alavanca seldin jogo adulto c 9
conjunto,"litro,conjunto,grama,comp,unidade,rolo,kit,galao,metro,ampola",filtro cj cabine carvao ativado
conjunto,"conjunto,litro,comp,grama,metro,frasco,unidade,rolo,ampola,caixa",jg junta completo
conjunto,"conjunto,litro,grama,unidade,ampola,galao,rolo,comp,metro,caixa",conj pagao para maternidade  9 par de sapato  9 par de luvas  9 pano de chupeta e 9 lencol de xixi  9 algodao
conjunto,"comp,unidade,grama,litro,metro,conjunto,frasco,caixa,rolo,ampola",cj potes de vidro 9 pcs
conjunto,"grama,frasco,litro,unidade,comp,caixa,metro,kg,ampola,rolo",coloracao panotico rapido conj  9 x 9 ml
conjunto,"comp,grama,frasco,metro,caixa,kg,unidade,litro,ampola,rolo",jg reparo pinca
conjunto,"conjunto,grama,m3,caixa,unidade,galao,kg,ampola,litro,rolo",cj  9 inter paralelo 9 a 9 v pl br prm 9 tributos incidentes 9 r 9 fonte ibpt prm 9
conjunto,"conjunto,litro,grama,unidade,comp,metro,kit,galao,rolo,caixa",jogo de cabo de vela de ignicao
conjunto,"conjunto,metro,litro,comp,grama,unidade,kit,caixa,rolo,cilindro",jg pastilha freio traseiro
conjunto,"conjunto,litro,metro,grama,unidade,comp,frasco,caixa,kit,rolo",jogo junta superior c ret
conjunto,"conjunto,litro,caixa,grama,comp,kg,unidade,metro,ampola,kit",oring grosso jg 9 unid fiat palio stillo gm zafira
conjunto,"conjunto,unidade,grama,litro,comp,kit,galao,metro,rolo,frasco",jogo de juntas parcial do motor
conjunto,"litro,comp,unidade,conjunto,grama,frasco,m3,caixa,metro,ampola",raio jg trazeiro 9
conjunto,"conjunto,grama,kit,litro,galao,unidade,comp,caixa,kg,metro",jg de junta do motor do zafira
conjunto,"conjunto,litro,comp,grama,metro,frasco,unidade,rolo,ampola,caixa",jg pastilha freio
conjunto,"m3,conjunto,unidade,grama,caixa,litro,metro,kg,comp,rolo",jg lona d t 9/9 dm 9 dna 9 9 9
conjunto,"caixa,unidade,grama,conjunto,litro,metro,m3,comp,kg,frasco",conj poa 9 pcs tw 9 9/9
frasco,"comp,frasco,grama,ampola,litro,unidade,caixa,metro,kg,kit",ipratropio gotas 9 mg ml g fr 9 ml prati 
frasco,"litro,comp,unidade,grama,metro,conjunto,caixa,kg,frasco,ampola",annita 9 mg sus fr 9 ml
frasco,"litro,unidade,comp,grama,metro,conjunto,caixa,kg,rolo,galao",addera d 9 sol or fr gts 9 ml
frasco,"frasco,grama,unidade,comp,caixa,m3,litro,ampola,metro,conjunto",paracetamol 9 mg fr c 9 ml             lote g 9
frasco,"comp,frasco,grama,unidade,litro,metro,ampola,caixa,conjunto,rolo",metilprednisolona 9 mg f a dil 9 ml unimedrol 
frasco,"litro,comp,metro,ampola,grama,frasco,unidade,caixa,kg,rolo",tenoxicam 9 mg f a uniao quimica tefla
frasco,"frasco,comp,ampola,grama,unidade,metro,caixa,kg,litro,kit",dipirona sodica 9 mg f a 9 ml farmace 
frasco,"comp,metro,grama,kg,caixa,kit,litro,unidade,ampola,conjunto",glicose 9 f a 9 ml isofarma 
frasco,"unidade,comp,frasco,grama,litro,metro,ampola,kg,caixa,galao",metilergometrina 9 mg f a 9 ml uniao qu
frasco,"litro,comp,grama,kit,unidade,conjunto,metro,kg,galao,caixa",bio latex fr completo quibasa
frasco,"comp,grama,frasco,caixa,ampola,unidade,litro,conjunto,metro,m3",carbamazepina 9 c 9 fr 9 ml uniao quimica 
frasco,"comp,grama,metro,unidade,ampola,conjunto,litro,galao,m3,kit",meropenem 9 g c 9 fa generico abl antibioticos do bras 
frasco,"grama,litro,comp,caixa,frasco,ampola,unidade,rolo,metro,conjunto",cefalexina 9 ml ml po o  susp oral fr 9 ml
frasco,"unidade,metro,conjunto,litro,galao,comp,grama,ampola,rolo,caixa", actilyse 9 mg cx 9 f a dil 9 ml canu alteplase boehringer
frasco,"comp,unidade,frasco,grama,litro,conjunto,metro,ampola,caixa,kg",agua bidestilada f a 9 ml isofarma lt a 9 c 9 vl 
frasco,"comp,grama,unidade,frasco,ampola,caixa,metro,m3,litro,conjunto",penicilina 9 f a c 9 inj imposto ibpt nacional 9 
frasco,"frasco,grama,comp,litro,metro,caixa,unidade,ampola,rolo,conjunto",ceftriaxona amplospec 9 g f a biochimico
frasco,"frasco,grama,comp,unidade,litro,ampola,conjunto,metro,caixa,m3",omeprazol 9 mg 9 ml dil  cx 9 f a  blausiegel 
frasco,"unidade,litro,comp,grama,frasco,metro,caixa,galao,kg,ampola",ambroxol xarope 9 ml 9 ml cx 9 fr 9 ml
frasco,"comp,ampola,grama,metro,unidade,litro,caixa,kg,kit,galao",vitamina c 9 mg f a 9 ml farmace 
frasco,"comp,litro,ampola,caixa,grama,metro,kg,frasco,unidade,conjunto",fr latex 9 ml marca biotecnica lote 9 h 9 a
frasco,"comp,ampola,unidade,grama,metro,kg,kit,frasco,caixa,galao",agua bidestilada f a 9 ml isofarma 
frasco,"comp,caixa,ampola,metro,grama,litro,kg,kit,unidade,conjunto",lidocaina 9 s v cx c 9 f a
frasco,"unidade,comp,frasco,grama,metro,litro,caixa,kg,ampola,kit",omeprazol 9 mg c 9 fr c dil oprazon 
frasco,"litro,comp,unidade,grama,conjunto,caixa,metro,ampola,frasco,rolo",duovent aer fr 9 ml
frasco,"comp,ampola,litro,metro,conjunto,unidade,grama,caixa,frasco,kg",teicoplanina 9 mg koplan cx 9 f a dil novafarma
frasco,"comp,unidade,grama,metro,caixa,cilindro,litro,m3,ampola,kg",amoxacilina 9 mg susp fr 9 ml imposto ibpt nacional 9 
frasco,"litro,unidade,comp,conjunto,grama,caixa,frasco,ampola,metro,rolo", clor cefepima 9 g po p sol inj cx 9 f cefepima  cloridrato aurobindo
frasco,"frasco,comp,ampola,grama,unidade,metro,caixa,kg,litro,kit",dipirona sodica 9 mg f a 9 ml farmace 
frasco,"comp,frasco,grama,ampola,unidade,metro,caixa,litro,kg,rolo",azitromicina 9 mg susp  fr 9 ml pharlab 
frasco,"grama,comp,metro,kg,conjunto,ampola,m3,unidade,litro,rolo",compexo b liquido  fr 9 ml medqu 
frasco,"comp,ampola,unidade,grama,metro,kg,kit,frasco,caixa,galao",agua bidestilada f a 9 ml isofarma 
galao,"m3,litro,conjunto,grama,caixa,unidade,galao,ampola,comp,kg",dialine esm  platina gl gl 9 x 9
galao,"litro,unidade,comp,grama,kit,galao,conjunto,kg,caixa,metro",dialine esmalt gl branco neve
galao,"unidade,caixa,litro,m3,grama,comp,metro,cilindro,conjunto,kit",pinta piso azul gl gl 9 x 9
galao,"metro,comp,litro,frasco,ampola,kit,caixa,kg,rolo,unidade",thinner galao
galao,"litro,galao,grama,comp,conjunto,unidade,ampola,metro,kit,caixa",esm sint gl vermelho hidrotintas
galao,"litro,unidade,comp,metro,ampola,galao,grama,kit,frasco,caixa",esm sint gl azul del rey hidrotintas
galao,"litro,conjunto,comp,grama,galao,unidade,metro,rolo,kit,ampola",esm sint gl marrom conhaque hidro
galao,"comp,litro,galao,unidade,grama,metro,ampola,caixa,kg,conjunto",esmalte extralux galao azul franca
grama,"comp,grama,frasco,ampola,litro,metro,caixa,unidade,rolo,conjunto",dexametasona 9 creme bisn 9 gr  multilab 
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,litro,kg,m3",acrysof sa 9 at 9 g ms 9 lote 9 val 9 9 
grama,"grama,comp,ampola,kg,unidade,litro,metro,kit,caixa,conjunto",cetoconazol dip betamet pom 9 g g 
grama,"litro,conjunto,unidade,metro,grama,comp,rolo,ampola,kit,galao",tnt pp 9 g 9 x 9 cores variadas
grama,"grama,litro,comp,unidade,caixa,ampola,galao,metro,conjunto,rolo",nistatina creme vag 9 ui g 9 g gen
grama,"litro,grama,frasco,unidade,comp,metro,ampola,conjunto,caixa,rolo",doce de leite pastoso sem corantes embal  c 9 gr marca triangulo
grama,"grama,kg,comp,unidade,litro,metro,m3,kit,caixa,galao",estriol creme vaginal 9 mg 9 g
grama,"grama,frasco,caixa,comp,ampola,unidade,metro,litro,m3,rolo",dexametasona 9 mgg bis 9 g dt validade 9
grama,"kg,grama,comp,m3,caixa,litro,metro,cilindro,unidade,ampola",caldo arisco galinha 9 x 9 g
grama,"grama,litro,ampola,comp,caixa,frasco,conjunto,unidade,rolo,metro",cefalotina sodica 9 g 9 fa ceflen fab  agila
grama,"comp,grama,kg,litro,ampola,metro,m3,unidade,conjunto,caixa",trinulox cr derm c 9 g
grama,"grama,comp,litro,caixa,unidade,kg,conjunto,metro,ampola,frasco",ceftriaxona 9 g iv
grama,"grama,kg,metro,comp,litro,unidade,ampola,frasco,m3,caixa",sabao em po 9 g fd 9 x 9 g
grama,"grama,comp,kg,ampola,litro,caixa,unidade,m3,metro,frasco",vaselina pomada 9 g
grama,"grama,kg,comp,litro,m3,ampola,caixa,conjunto,frasco,metro",cafe nordestino 9 g
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,litro,kg,m3",acrysof sa 9 at 9 g ms 9 lote 9 val 9 9 
grama,"frasco,ampola,grama,comp,metro,caixa,unidade,kg,litro,kit",lidocaina a 9 geleia 9 g c 9 labcaina 
grama,"grama,litro,comp,ampola,kg,unidade,galao,kit,metro,conjunto",neomicina bacit pom nebactrina 9 gr
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,litro,kg,m3",acrysof sa 9 at 9 g ms 9 lote 9 val 9 9 
grama,"litro,unidade,grama,comp,metro,galao,rolo,conjunto,ampola,frasco",papel a 9 copimax branco 9 g 9 fls
grama,"comp,grama,ampola,caixa,frasco,unidade,metro,litro,m3,kg",neomicina bacitracina pomada 9 g lote 9/9 
grama,"grama,frasco,kg,ampola,metro,unidade,m3,litro,comp,caixa",proteina texturizada de soja supresoy carne 9 g
grama,"comp,unidade,grama,litro,metro,frasco,conjunto,caixa,rolo,ampola",ampicilina 9 g c 9 gen
grama,"grama,comp,ampola,metro,unidade,litro,conjunto,galao,m3,caixa",metronidazol 9 mg gel vag apl 9 g imposto ibpt nacional 9 
grama,"grama,kg,comp,litro,unidade,m3,galao,metro,caixa,ampola",nistatina creme vag  aplic  9 g
grama,"grama,kg,comp,unidade,metro,m3,litro,galao,caixa,ampola",metronidazol gel vaginal 9 mg g
grama,"kg,grama,kit,litro,ampola,galao,metro,comp,conjunto,unidade",bisc  c  cracker vitarella trad 9 g
grama,"comp,unidade,grama,litro,metro,conjunto,frasco,ampola,caixa,kg",algodao hidrofilo 9 gr
grama,"comp,grama,litro,ampola,unidade,conjunto,galao,caixa,m3,metro",nistatina creme vaginal 9 g hosp 
grama,"grama,kg,unidade,metro,comp,litro,frasco,caixa,conjunto,m3",pao tipo hot dog pct 9 g
grama,"m3,grama,caixa,unidade,comp,kg,conjunto,litro,metro,cilindro",creme de leite italac 9 g c 9
grama,"unidade,comp,grama,litro,metro,conjunto,caixa,frasco,rolo,kit",margarina produzida excl  de gordura vegetal adicao de sal com gordura trans embal  c 9 gr marca deline
grama,"grama,kg,m3,comp,unidade,litro,caixa,kit,metro,galao",neomicina bacitracina pom  9 g
grama,"unidade,comp,litro,grama,metro,conjunto,frasco,m3,ampola,caixa",babymed rosa 9 g cimed
grama,"metro,unidade,comp,grama,litro,ampola,frasco,galao,caixa,rolo",papel oficio a 9 9 x 9 9 g copimax
grama,"grama,kg,m3,litro,unidade,galao,caixa,conjunto,comp,kit",sab o em p guarani sach 9 x 9 g
grama,"grama,kg,comp,litro,caixa,unidade,m3,metro,cilindro,ampola",macarrao tipo espaquete 9 g
grama,"grama,kg,litro,galao,unidade,m3,caixa,kit,ampola,comp",milho verde predilecta lata 9 g
grama,"litro,grama,comp,ampola,unidade,conjunto,metro,galao,rolo,caixa",nistanina creme vaginal 9 g teuto
grama,"grama,kg,unidade,litro,comp,ampola,metro,galao,caixa,frasco",pastilha sanitaria tri d lavanda 9 g
grama,"kg,grama,caixa,litro,comp,ampola,metro,unidade,conjunto,frasco",colorifico dona clara 9 g
grama,"comp,grama,litro,unidade,frasco,metro,conjunto,ampola,caixa,kg",molho de alho 9 gr
grama,"grama,kg,comp,m3,caixa,metro,cilindro,ampola,litro,unidade",miconazol 9 mg g cr  vag 9 g
grama,"grama,kg,conjunto,caixa,metro,comp,frasco,unidade,litro,ampola",coco ralado mais coco 9 g
grama,"grama,comp,metro,litro,unidade,kit,conjunto,kg,caixa,m3",bombom sortidos garoto 9 gr
grama,"grama,unidade,comp,litro,metro,kit,frasco,conjunto,kg,caixa",bolacha crean ckacer 9 gr
grama,"unidade,grama,comp,frasco,litro,metro,kg,caixa,galao,ampola",marreta oitavada 9 g forjada ref 9/9
grama,"comp,grama,metro,litro,kg,frasco,unidade,ampola,caixa,m3",reparil gel 9 gr
grama,"grama,unidade,comp,m3,kg,litro,metro,frasco,ampola,caixa",papel copimax a 9 9 g
grama,"kg,grama,caixa,m3,ampola,comp,frasco,metro,unidade,rolo",coentro acond  g
grama,"grama,comp,unidade,litro,frasco,conjunto,metro,ampola,kg,caixa",cetoconazol creme 9 gr
grama,"caixa,litro,grama,ampola,unidade,metro,comp,galao,kit,conjunto",kollagenase c cloraf bisn 9 g cx 9
grama,"litro,grama,comp,unidade,caixa,conjunto,galao,ampola,metro,kg",algodao hidrofilo 9 g nathalya
grama,"grama,unidade,litro,galao,comp,kit,metro,kg,conjunto,m3",leite em po italac int 9 x 9 gr
grama,"unidade,comp,litro,frasco,grama,metro,kg,ampola,kit,galao",caldo de carne galinha 9 x 9 gr knnor
grama,"litro,comp,grama,unidade,ampola,metro,frasco,caixa,kit,kg",neomicina bacitracina 9 g sobral neo
grama,"grama,comp,unidade,kg,litro,frasco,m3,metro,ampola,caixa",achocolatado em po 9 g
grama,"comp,grama,unidade,litro,metro,kg,conjunto,caixa,rolo,ampola",cetoconazol creme 9 g sobral 
grama,"comp,grama,frasco,unidade,caixa,ampola,kg,metro,litro,m3",cha de erva doce cx  c 9 saquinhos 9 gr 
grama,"frasco,unidade,grama,caixa,comp,kg,ampola,metro,m3,litro",cefazolina sodica 9 g po liof inj cx 9
grama,"grama,kg,comp,metro,litro,unidade,ampola,frasco,m3,caixa",leite em po italac 9 g
grama,"grama,comp,unidade,litro,kg,metro,caixa,conjunto,kit,ampola",caldo carne caixa c  9 9 gr
grama,"frasco,ampola,grama,comp,metro,caixa,unidade,kg,litro,kit",lidocaina a 9 geleia 9 g c 9 labcaina 
grama,"grama,comp,litro,kit,unidade,frasco,metro,ampola,conjunto,kg",biscoito doce maria 9 gr
grama,"grama,comp,kg,metro,caixa,unidade,m3,cilindro,litro,ampola",metronidazol gel vag 9 mg g
grama,"comp,ampola,grama,frasco,litro,unidade,caixa,conjunto,metro,m3",hidrocortisona 9 mg creme 9 g uniao quimica 
grama,"grama,comp,kg,metro,unidade,m3,litro,cilindro,caixa,kit",metronidazol cvg 9 mg 9 g 9 g
grama,"kg,grama,comp,ampola,metro,m3,caixa,litro,unidade,frasco",efurix creme 9 g
grama,"grama,kg,metro,comp,litro,unidade,ampola,caixa,m3,conjunto",flocao sao braz 9 x 9 g
grama,"litro,comp,grama,metro,unidade,kg,caixa,m3,conjunto,cilindro",nebaciderme 9 g pomada mult
grama,"comp,grama,frasco,ampola,unidade,metro,caixa,litro,m3,kg",sulfadiazina de prata 9 mg g cr 9 g gen 
grama,"grama,kg,comp,metro,litro,m3,unidade,frasco,ampola,conjunto",cafe sb ef alm 9 x 9 g
grama,"unidade,litro,comp,metro,grama,galao,kg,frasco,caixa,ampola",sabao em po 9 g c 9 und mr marilux
grama,"litro,grama,frasco,unidade,comp,metro,ampola,conjunto,caixa,rolo",doce de leite pastoso sem corante embal  c  9 gr marca triangulo
grama,"grama,kg,ampola,litro,galao,metro,unidade,conjunto,caixa,comp",almondegas ao molho de tomate 9 g
grama,"kg,grama,comp,ampola,m3,litro,metro,caixa,unidade,frasco",diprosone cre 9 g
grama,"unidade,frasco,grama,comp,caixa,litro,metro,kg,ampola,m3",metronidazol 9 mg g gel vaginal 9 bg 9
grama,"grama,kg,comp,litro,m3,metro,ampola,unidade,frasco,conjunto",cafe santa clara 9 g
grama,"comp,grama,unidade,caixa,frasco,litro,conjunto,metro,m3,ampola",ceftriaxona 9 g f a cx 9
grama,"comp,grama,metro,galao,litro,ampola,unidade,conjunto,caixa,kit",esmal sintetico 9 g hidrotintas 
grama,"grama,kg,unidade,comp,litro,metro,caixa,frasco,conjunto,m3",caldo de galinha 9 x 9 g
grama,"comp,grama,unidade,frasco,litro,ampola,caixa,metro,conjunto,rolo",papel filipaper casca de ovo branco 9 g  fl 
grama,"comp,grama,unidade,kit,caixa,litro,ampola,metro,conjunto,frasco",lidocaina gel 9 9 g hipolabor 
grama,"unidade,frasco,caixa,grama,comp,kg,litro,metro,ampola,m3",ceftriaxona 9 g po sol inj im iv cx 9
grama,"litro,unidade,grama,comp,conjunto,metro,galao,rolo,kit,caixa",9 cola branca fix 9 g polycart
grama,"unidade,grama,frasco,comp,metro,litro,caixa,m3,conjunto,rolo",papel oficio 9 g m 9 p 9
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,litro,kg,m3",acrysof sa 9 at 9 g ms 9 lote 9 val 9 9 
grama,"grama,comp,kg,unidade,litro,m3,metro,ampola,caixa,frasco",balsamo bengue gel 9 g
grama,"comp,grama,unidade,metro,galao,litro,conjunto,ampola,caixa,m3",metronidazol 9 mg gel vag apl bisn 9 gr prati donaduzzi 
grama,"grama,kg,litro,ampola,metro,kit,comp,unidade,galao,caixa",leite em po integral italac 9 x 9 g
grama,"kg,grama,comp,metro,frasco,ampola,unidade,litro,caixa,galao",metronidazol gel ginecologico 9 mg 9 g
grama,"grama,comp,litro,kg,metro,unidade,frasco,ampola,m3,conjunto",extrato de tomate 9 g
grama,"grama,comp,frasco,caixa,ampola,unidade,kg,metro,litro,rolo",cetoconazol creme bisn  9 gr hipolabor mg 
grama,"grama,kg,m3,comp,metro,ampola,litro,unidade,conjunto,caixa",dexa 9 g creme 9 mg g
grama,"litro,comp,metro,unidade,grama,conjunto,ampola,galao,frasco,rolo",flocos de milho 9 g c 9 extramilho
grama,"grama,kg,metro,comp,litro,unidade,ampola,caixa,m3,conjunto",flocao sao braz 9 x 9 g
grama,"comp,litro,unidade,metro,grama,conjunto,caixa,kit,rolo,cilindro",extrato de tomate 9 g quero
grama,"grama,kg,comp,metro,litro,ampola,unidade,m3,caixa,conjunto",floco de milho 9 x 9 g
grama,"comp,frasco,grama,ampola,unidade,metro,litro,kg,caixa,kit",dexametasona creme 9 mg g 9 g sobral 
grama,"grama,kg,comp,metro,litro,unidade,ampola,caixa,frasco,m3",dexametasona 9 creme 9 g
grama,"kg,grama,m3,caixa,metro,comp,ampola,frasco,litro,unidade",clips n 9/9 9 g
grama,"grama,comp,litro,kg,unidade,m3,caixa,metro,ampola,conjunto",sabao em po 9 x 9 g
grama,"kg,grama,comp,m3,caixa,litro,metro,cilindro,unidade,ampola",caldo arisco galinha 9 x 9 g
grama,"grama,comp,unidade,metro,frasco,kg,litro,ampola,caixa,conjunto",neston 9 cereais lt 9 g 
grama,"comp,grama,unidade,litro,metro,frasco,conjunto,ampola,kg,rolo",esperson n pomada 9 gr
grama,"grama,kg,comp,m3,caixa,litro,ampola,unidade,metro,frasco",cafe em po 9 x 9 g
grama,"unidade,frasco,litro,grama,comp,caixa,metro,ampola,kg,rolo",miconazol creme vaginal 9 g prati donad
grama,"unidade,frasco,litro,grama,comp,caixa,metro,ampola,kg,rolo",miconazol creme vaginal 9 g prati donad
grama,"grama,comp,kg,metro,unidade,litro,m3,ampola,kit,caixa",nistatina creme vaginal 9 gr
grama,"litro,comp,unidade,metro,grama,conjunto,frasco,rolo,caixa,ampola",papel a 9 9 9 9 g amarelo
grama,"kg,grama,unidade,m3,frasco,metro,comp,caixa,litro,rolo",papel a 9 9 g
grama,"comp,grama,unidade,frasco,litro,metro,ampola,conjunto,caixa,m3",sais para reidratacao oral  susp  9 g natulab 
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,m3,conjunto,litro",miconazol creme vaginal 9 mg g 9 g c aplicador generico prati donaduzzi 
grama,"unidade,grama,litro,comp,kit,metro,caixa,kg,rolo,conjunto",kolagenase c cloraf pom 9 gr f
grama,"comp,grama,ampola,litro,unidade,conjunto,m3,kg,frasco,metro",hemovirtus pom 9 g 
grama,"grama,unidade,litro,galao,comp,kit,metro,kg,conjunto,m3",leite em po italac int 9 x 9 gr
grama,"unidade,comp,litro,grama,conjunto,metro,caixa,galao,rolo,kit",pratiglos pom 9 gr pratidonad
grama,"comp,unidade,frasco,grama,metro,caixa,ampola,conjunto,litro,kg",algodao em rolo hidrofilo 9 gr marca melhor med 
grama,"metro,grama,comp,unidade,litro,frasco,conjunto,caixa,rolo,ampola", papel a 9 9 g copimax
grama,"grama,comp,metro,unidade,litro,galao,ampola,conjunto,caixa,kit",metronidazol 9 g 9 mg 9 g creme
grama,"grama,kg,m3,litro,unidade,galao,caixa,conjunto,comp,kit",sab o em p guarani sach 9 x 9 g
grama,"grama,unidade,kg,comp,frasco,litro,ampola,metro,caixa,m3",pastilha sanitaria disoflor lavanda 9 g
grama,"grama,kg,frasco,unidade,comp,litro,ampola,metro,caixa,m3",margarina extra cremosa c sal embal 9 g
grama,"grama,comp,kg,litro,frasco,m3,unidade,metro,ampola,conjunto",margarina vegetal 9 g
grama,"kg,grama,metro,litro,unidade,ampola,kit,caixa,comp,frasco",leite em po ninho integral nestle 9 g
grama,"grama,comp,m3,unidade,kg,kit,metro,litro,ampola,caixa",leite em po integral saco 9 g 
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,litro,kg,m3",acrysof sa 9 at 9 g ms 9 lote 9 val 9 9 
grama,"comp,grama,frasco,unidade,caixa,ampola,metro,litro,kg,m3",acrysof sa 9 at 9 g ms 9 lote 9 val 9 9 
grama,"comp,grama,unidade,litro,caixa,cilindro,m3,ampola,conjunto,kit",miconazol creme vaginal 9 g prati donad lt 9 i 9 j vl 
kg,"kg,grama,ampola,litro,kit,metro,caixa,unidade,galao,frasco",cp ii z 9 cimpor uso geral saco 9 kg
kg,"kg,grama,ampola,m3,conjunto,litro,kit,galao,caixa,rolo",cimento elizabeth cp ii z 9 c 9 kg
kg,"kg,grama,metro,litro,unidade,caixa,comp,m3,kit,rolo",glp em botijao de gas de 9 kg
kg,"metro,litro,conjunto,comp,unidade,grama,ampola,caixa,kg,m3",lona 9 x 9 9 kg preta
kg,"kg,grama,litro,conjunto,unidade,ampola,m3,metro,comp,galao",arroz tipo 9 parborizado 9 x 9 kg
kg,"kg,metro,grama,litro,ampola,unidade,comp,conjunto,galao,caixa",torta de caro o de algod o sc 9 kg
kg,"grama,kg,litro,ampola,m3,galao,caixa,kit,metro,unidade",milho verde em conserva com 9 kg
kg,"kg,grama,metro,m3,litro,comp,unidade,kit,conjunto,caixa",feij o carioca bi bom 9 x 9 kg
