un. medida,predicted,texto
kg,"kg,grama,litro,metro,comp,m3,kit,caixa,ampola,cilindro",filler textura rustica 9 kg
kg,"grama,kg,litro,comp,ampola,m3,metro,unidade,conjunto,frasco",cal extra massa 9 kg
kg,"unidade,litro,comp,grama,frasco,metro,caixa,kg,ampola,rolo",fecula de mandioca lopes 9 kg qtd  9 un
kg,"litro,metro,comp,unidade,grama,conjunto,caixa,kg,kit,ampola",cola branca 9 kg glinorte
kg,"kg,grama,ampola,litro,kit,metro,caixa,galao,m3,conjunto",cimento ligamax externo eliane 9 kg
kg,"kg,grama,metro,litro,m3,comp,caixa,ampola,kit,unidade",graxa chassis golden 9 9 kg
kg,"kg,grama,comp,metro,ampola,caixa,litro,m3,unidade,frasco",cimento de 9 kgs
kg,"kg,grama,ampola,comp,frasco,kit,metro,unidade,m3,caixa",cimento portlandcomum cp ii 9 sc 9 kg 
kg,"kg,grama,unidade,comp,litro,metro,ampola,frasco,caixa,kit",argamassa colante tipo ac ii  com 9 kg
kg,"kg,m3,grama,kit,metro,caixa,comp,cilindro,ampola,litro",cimento 9 kg
kg,"kg,grama,litro,unidade,comp,metro,caixa,m3,rolo,conjunto",massa acrilica colorplus 9 kg
kg,"kg,grama,comp,metro,litro,caixa,m3,unidade,ampola,rolo",sal campeao 9 kg
kg,"unidade,litro,comp,grama,metro,frasco,conjunto,caixa,rolo,kg",petrol carflex c 9 kg bd
kg,"kg,grama,m3,comp,metro,caixa,litro,conjunto,kit,cilindro",creme de goiaba tambau 9 kg
kg,"kg,grama,litro,unidade,metro,comp,caixa,m3,rolo,kit",massa pva hidracor balde 9 kg
kg,"grama,kg,litro,ampola,comp,metro,m3,conjunto,unidade,caixa",costela congelada kg
kg,"comp,litro,unidade,caixa,metro,grama,kit,conjunto,ampola,cilindro",liex mix 9 kg detergente em p p  lavagem de tecidos
kg,"kg,grama,comp,litro,caixa,ampola,m3,metro,unidade,conjunto",cal supercal 9 kg
kg,"kg,grama,litro,comp,unidade,metro,conjunto,ampola,m3,kit",dicloro tripla acao balde 9 kg
kg,"unidade,litro,comp,frasco,metro,grama,kg,ampola,conjunto,galao",halteres ginastica 9 kg emborrachado
kg,"litro,comp,unidade,metro,grama,conjunto,rolo,caixa,frasco,kit",sal campeao 9 kg comum iodado
kg,"kg,grama,m3,metro,caixa,comp,kit,litro,ampola,unidade",cimento cp ii z 9 cimpor 9 kg
kg,"kg,grama,comp,litro,unidade,metro,ampola,m3,caixa,conjunto",equinos durancho 9 9 kg
kg,"kg,grama,litro,comp,metro,unidade,ampola,m3,conjunto,caixa",sacola preta lixo 9 kg
kg,"kg,grama,litro,comp,ampola,metro,unidade,caixa,m3,conjunto",farelo de soja 9 kg
kg,"kg,grama,metro,caixa,kit,litro,comp,ampola,m3,conjunto",cimento apodi cp ii z 9 kg
kg,"kg,metro,grama,m3,unidade,comp,litro,kit,caixa,ampola",bolo sort  kg
kg,"grama,kg,metro,m3,litro,conjunto,ampola,unidade,comp,frasco",glp em botijao de 9 kg
kg,"grama,kg,comp,ampola,litro,m3,metro,unidade,conjunto,caixa",versatil clor bd 9 kg
kg,"kg,grama,m3,litro,kit,galao,unidade,caixa,ampola,conjunto",cimento cimpor cpii z 9 sc 9 kg
kg,"unidade,litro,comp,metro,grama,cilindro,kg,conjunto,caixa,m3",turbo massa acrilica 9 kg bd
kg,"kg,grama,comp,litro,caixa,ampola,m3,metro,unidade,conjunto",cal supercal 9 kg
kg,"kg,kit,metro,ampola,m3,grama,caixa,litro,unidade,comp",coentro kg
kg,"kg,grama,comp,metro,litro,unidade,m3,conjunto,ampola,frasco",arroz parboilizado 9 kg
kg,"frasco,unidade,grama,caixa,comp,litro,ampola,metro,m3,rolo",varao ferro 9/9 sinobras 9 kg 9 mm ca 9 9
kg,"kg,grama,m3,comp,caixa,ampola,metro,litro,frasco,rolo",cimento cpii 9 kg
kg,"grama,caixa,comp,kg,metro,conjunto,litro,unidade,frasco,ampola",cimento 9 kg zebu cinza
kg,"kg,grama,m3,metro,litro,comp,unidade,caixa,ampola,kit",feijao carioca tipo 9 9 x 9 kg
kg,"kg,grama,m3,comp,metro,litro,unidade,caixa,kit,cilindro",argamassa itatiunga aci 9 kg
kg,"kg,comp,grama,ampola,litro,metro,caixa,unidade,m3,conjunto",equinos 9 ma 9 kg
kg,"grama,kg,comp,litro,frasco,unidade,metro,ampola,caixa,m3",argamassa unimassa ac 9 revestimento 9 kg
kg,"kg,grama,ampola,m3,conjunto,litro,kit,galao,caixa,rolo",cimento elizabeth cp ii z 9 c 9 kg
kg,"kg,grama,metro,caixa,litro,kit,ampola,m3,comp,conjunto",cimento cpii z 9 saco 9 kg
kg,"kg,grama,comp,metro,unidade,litro,m3,frasco,caixa,conjunto",argamassa quart  aci 9 kg
kg,"grama,kg,litro,comp,m3,metro,unidade,ampola,conjunto,frasco",maca gala grande kg
kg,"kg,grama,litro,metro,unidade,comp,ampola,m3,kit,caixa",tinta po cal megao 9 kg
kg,"kg,grama,comp,metro,litro,caixa,ampola,m3,unidade,rolo",sal mimosal 9 kg
kg,"kg,grama,comp,metro,litro,unidade,ampola,m3,caixa,conjunto",arroz olivo parb 9 x 9 kg
kg,"kg,grama,ampola,litro,kit,metro,caixa,unidade,galao,frasco",cp ii z 9 cimpor uso geral saco 9 kg
kg,"comp,ampola,unidade,grama,frasco,metro,kg,litro,kit,caixa",gel ultrassonografia 9 kg vicpharma 
kg,"comp,frasco,metro,grama,ampola,rolo,caixa,kit,litro,unidade",f trigo esp  r  branca 9 x 9 kg c  ferm 
kg,"grama,frasco,comp,ampola,m3,kg,caixa,unidade,metro,conjunto",cimento portland composto apodi cp ii e 9 9 kg 
kg,"comp,grama,litro,frasco,unidade,conjunto,metro,ampola,caixa,kg",cimento sc 9 k cimpor
kg,"kg,grama,ampola,litro,kit,metro,caixa,unidade,galao,frasco",cp ii z 9 cimpor uso geral saco 9 kg
kg,"frasco,unidade,grama,caixa,comp,litro,ampola,metro,m3,rolo",varao ferro 9/9 sinobras 9 kg 9 mm ca 9 9
kg,"unidade,comp,frasco,grama,caixa,metro,ampola,litro,kg,m3",acido borico p a  kg ref 9 marca isofar imposto ibpt nacional 9 
kg,"kg,grama,unidade,litro,ampola,metro,comp,galao,caixa,kit",polpa cong de frutas canaa caja 9 kg
kg,"kg,grama,litro,comp,metro,ampola,m3,unidade,conjunto,rolo",feijao macassar 9 kg
kg,"kg,grama,litro,m3,metro,kit,cilindro,caixa,comp,unidade",tinta esmalte branco gelo kg
kg,"kg,m3,grama,comp,metro,frasco,caixa,ampola,kit,rolo",cimento 9 kg 
kg,"kg,grama,unidade,comp,litro,m3,metro,conjunto,caixa,galao",arroz cacarola parbolizado 9 kg
kg,"comp,unidade,grama,metro,litro,caixa,kg,ampola,kit,m3",versatil past bd 9 kg becker 
kg,"kg,grama,litro,metro,ampola,comp,unidade,galao,caixa,rolo",argamassa p uso int  tipo aci 9 kg
kg,"comp,grama,kg,unidade,litro,caixa,frasco,ampola,metro,conjunto",cimento 9 kg mizu cp ii
kg,"grama,caixa,frasco,comp,litro,m3,unidade,metro,ampola,kg",cimento cpii z 9 rs nbr 9 nbr 9 9 kg cf 9
kg,"kg,grama,comp,metro,litro,caixa,m3,unidade,ampola,rolo",sal campeao 9 kg
kit,"kit,litro,grama,comp,conjunto,galao,metro,unidade,ampola,rolo",kit cor pin corr yam xtz 9 lander
kit,"metro,comp,frasco,kit,litro,unidade,caixa,grama,ampola,kg",kit cor pin corr hda nxr 9 bros premium
kit,"kit,kg,metro,caixa,comp,litro,ampola,grama,conjunto,rolo",kit polimento de amalgama
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"metro,kit,comp,grama,litro,unidade,caixa,m3,conjunto,ampola",kit papa nicolau tam m
kit,"kit,ampola,grama,comp,litro,metro,kg,unidade,caixa,frasco",kit urina 9 areas lote 9 validade 
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"kit,litro,comp,unidade,grama,rolo,kg,galao,frasco,conjunto",kit embreagem fiorino 9/9 fire
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"litro,unidade,comp,metro,grama,frasco,caixa,conjunto,ampola,kg",toxoplasmose igm atraves da metodologia elisa kit
kit,"metro,comp,grama,litro,kg,ampola,caixa,m3,frasco,rolo",kit contrato 9 am
kit,"kit,litro,caixa,metro,comp,unidade,grama,conjunto,frasco,m3",kit estabilizador diant 9
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"unidade,litro,comp,conjunto,grama,kg,kit,galao,caixa,rolo",copo caneca  marca kit merenda
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"kit,metro,comp,litro,caixa,frasco,ampola,kg,unidade,rolo",kit conector
kit,"metro,conjunto,grama,kit,ampola,caixa,litro,frasco,unidade,comp",9 s 9/ 9/e   kit alarme
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"unidade,comp,frasco,grama,caixa,litro,ampola,metro,conjunto,kit",bucha kit mp prestolite m 9 r vw   ford cummins
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
kit,"kit,comp,grama,unidade,litro,frasco,caixa,conjunto,rolo,kg",kit andamento titan 9 riffel 
kit,"frasco,comp,grama,unidade,kit,litro,metro,ampola,kg,m3",kit faco 9 mm laureate lote 9 h val 9 9 
kit,"kit,litro,kg,metro,ampola,unidade,m3,caixa,conjunto,rolo",kit pnld
litro,"litro,comp,unidade,frasco,grama,ampola,metro,caixa,conjunto,rolo",tirreno arla 9 9 l
litro,"litro,comp,unidade,frasco,grama,ampola,caixa,metro,rolo,conjunto",plaxmatic 9 9 l detergente umectante p  roupas
litro,"litro,unidade,comp,grama,frasco,ampola,metro,caixa,kg,galao",desinfetante novo brilho caravela 9 l
litro,"litro,unidade,metro,conjunto,comp,grama,frasco,rolo,caixa,ampola",lubrax extra turbo 9 lt
litro,"litro,unidade,grama,comp,rolo,conjunto,ampola,caixa,galao,metro",saco lixo evaristo 9 super refo 9 l
litro,"litro,unidade,comp,conjunto,grama,metro,frasco,m3,caixa,ampola",oleo ursa la 9 9 lt
litro,"litro,unidade,comp,grama,conjunto,ampola,metro,galao,kg,caixa",hand chc antiss ptico alco lico 9 l
litro,"comp,unidade,litro,grama,conjunto,metro,caixa,kg,rolo,cilindro",duramais 9 l branco neve lux
litro,"litro,comp,unidade,grama,conjunto,metro,frasco,ampola,caixa,kg",thinner tempo 9 gl 9 l
litro,"litro,comp,unidade,frasco,metro,grama,ampola,kit,caixa,kg",iquine delanil acril fo  9 lt bco gelo
litro,"litro,comp,unidade,metro,conjunto,grama,frasco,ampola,rolo,caixa",agua mineral 9 litros
litro,"litro,comp,unidade,grama,metro,conjunto,ampola,frasco,rolo,caixa",massa corrida 9 lts
litro,"litro,comp,grama,unidade,metro,conjunto,frasco,caixa,ampola,kit",desinfetante liquido 9 l
litro,"litro,unidade,comp,frasco,grama,metro,ampola,conjunto,caixa,m3",tinta extralux esm sint 9 l azul del rey 9 lux
litro,"litro,comp,unidade,grama,metro,conjunto,caixa,galao,ampola,rolo",tinta luxcril 9 l branco neve lux
litro,"litro,unidade,metro,galao,grama,conjunto,comp,caixa,ampola,rolo",lava roupas conc tradicional 9 lt
litro,"litro,grama,metro,unidade,comp,conjunto,frasco,kit,caixa,rolo",saco para lixo preto 9 lt
litro,"litro,grama,unidade,comp,metro,frasco,conjunto,rolo,caixa,ampola",massa corrida 9 l balde
litro,"litro,unidade,comp,metro,grama,ampola,caixa,galao,frasco,kg",tinta luxcril 9 l azul profundo lux
litro,"litro,unidade,comp,grama,galao,conjunto,kit,caixa,metro,kg",dialine esmalte sintetico 9 lt
litro,"litro,unidade,comp,metro,grama,conjunto,caixa,frasco,ampola,kg",saco p  lixo 9 lts inf
litro,"litro,comp,metro,unidade,conjunto,grama,ampola,rolo,caixa,m3",fanta laranja 9 l pet
litro,"litro,unidade,comp,metro,galao,grama,ampola,caixa,kg,frasco",saco para lixo branco hospitalar 9 lt
litro,"litro,grama,unidade,conjunto,comp,galao,ampola,caixa,kg,rolo",dialine esm sec rap bco neve 9 l
litro,"litro,unidade,conjunto,comp,grama,metro,frasco,m3,kg,caixa",oleo 9 w 9 9 l brutu
litro,"litro,metro,comp,frasco,kg,unidade,grama,ampola,caixa,m3",shine dry 9 lt
litro,"litro,unidade,comp,grama,metro,conjunto,kg,caixa,frasco,kit",arla 9 flua petrobras 9 l
litro,"comp,litro,unidade,metro,conjunto,grama,ampola,frasco,caixa,rolo",alcool 9 c  9 litros
litro,"comp,unidade,litro,frasco,metro,galao,grama,ampola,rolo,kit",extralatex branco neve 9 lt hidracor
litro,"litro,metro,frasco,comp,unidade,grama,rolo,m3,kg,caixa",primax dt 9 lt
litro,"litro,comp,unidade,conjunto,metro,ampola,m3,frasco,caixa,grama",thinner galao 9 lt 9
litro,"litro,comp,unidade,metro,grama,conjunto,frasco,ampola,caixa,rolo",hipoclorito de sodio lt
litro,"litro,unidade,conjunto,grama,comp,galao,metro,caixa,rolo,ampola",saco lixo ultraplast 9 l preto
litro,"litro,comp,unidade,metro,grama,conjunto,caixa,m3,frasco,kg",oleo mobil mx 9 lt
litro,"unidade,frasco,comp,grama,litro,metro,caixa,kg,ampola,rolo",carrinho metalosa 9 x 9 verm 9 l c 9 un
litro,"litro,unidade,comp,grama,metro,kg,ampola,frasco,conjunto,caixa",detergente 9 l fd
litro,"litro,metro,unidade,kg,kit,comp,rolo,frasco,galao,ampola",arla 9 9 lt
litro,"litro,unidade,comp,metro,grama,conjunto,frasco,rolo,ampola,caixa",esmalte sintetico 9 lt
litro,"litro,unidade,comp,grama,metro,kit,caixa,conjunto,kg,frasco",pintalar 9 lt areia iquine
litro,"grama,kg,litro,metro,ampola,comp,caixa,galao,unidade,conjunto",glutaron 9 dias 9 l inativador 9 g
litro,"litro,comp,unidade,metro,frasco,grama,caixa,ampola,rolo,conjunto",tinta decora sb 9 lts branco gelo coral
litro,"litro,unidade,comp,grama,metro,galao,conjunto,caixa,rolo,kit",saco p  lixo infectante 9 lts
litro,"comp,grama,metro,ampola,litro,unidade,kit,caixa,galao,kg",base coralservice coralmur 9 lt t 
litro,"litro,comp,grama,unidade,caixa,kg,metro,conjunto,ampola,cilindro",diatex acrilico vanilla 9 l
litro,"litro,grama,comp,unidade,conjunto,metro,rolo,frasco,ampola,caixa", gua sanit ria 9 lt
litro,"litro,metro,grama,unidade,comp,caixa,frasco,kit,conjunto,kg",solvente natrielli gl 9 lt
litro,"comp,ampola,frasco,unidade,grama,metro,litro,caixa,kit,kg",iquine dialine esm 9 l cinza medio bri 
litro,"litro,comp,unidade,grama,conjunto,frasco,metro,ampola,caixa,rolo",tecryl d 9 azul 9 l
litro,"litro,comp,grama,unidade,conjunto,metro,galao,caixa,rolo,frasco",refrigerante lim o  peti c  9 l
litro,"litro,unidade,metro,comp,frasco,grama,ampola,caixa,rolo,kit",tintas lux duramais bd 9 l branco gelo
litro,"litro,comp,unidade,metro,conjunto,grama,frasco,ampola,rolo,caixa",agua mineral 9 litros
litro,"litro,grama,unidade,galao,comp,metro,conjunto,ampola,rolo,caixa",detergente concentrado neutro 9 lt
litro,"litro,unidade,grama,comp,frasco,metro,conjunto,kit,caixa,kg",tinta esm sint  cinza 9 l
litro,"litro,unidade,comp,grama,frasco,conjunto,metro,rolo,caixa,ampola",letahcide plus bb 9 l
litro,"litro,comp,metro,unidade,grama,frasco,ampola,caixa,rolo,galao",fixador p raio x galao c  9 litros p preparar 9 l marca hexa fotoq
litro,"comp,litro,unidade,grama,metro,conjunto,frasco,kit,rolo,caixa",saco p  lixo comum 9 l pr
litro,"litro,unidade,comp,metro,galao,grama,ampola,caixa,kg,frasco",saco para lixo branco hospitalar 9 lt
litro,"litro,comp,unidade,metro,conjunto,grama,frasco,ampola,rolo,caixa",agua mineral 9 litros
litro,"litro,comp,unidade,metro,grama,frasco,ampola,caixa,conjunto,rolo",blue amaciante bactericida p roupas 9 lts
litro,"comp,litro,ampola,grama,frasco,metro,caixa,kg,unidade,conjunto",hidrotintas demais int  9 l v primavera
litro,"comp,litro,unidade,metro,conjunto,grama,ampola,frasco,caixa,rolo",alcool gel 9 9 litros
litro,"litro,unidade,frasco,grama,comp,metro,caixa,ampola,rolo,conjunto",lubrificante ursa super td sae 9 w 9 9 l
litro,"litro,comp,unidade,grama,metro,caixa,cilindro,ampola,rolo,frasco",massa acri 9 l hidrotintas
litro,"litro,comp,unidade,grama,metro,ampola,caixa,conjunto,galao,kg",tinta rende muito 9 lts verde kiwi
litro,"litro,comp,unidade,frasco,grama,ampola,metro,caixa,conjunto,rolo",tirreno arla 9 9 l
litro,"litro,unidade,comp,metro,grama,caixa,kg,conjunto,cilindro,m3",oleo dulub hidraulico 9 9 lt
litro,"litro,comp,unidade,frasco,metro,caixa,ampola,grama,rolo,conjunto",tinta acril pintapiso 9 lt cz medio coral
litro,"litro,comp,unidade,frasco,grama,ampola,caixa,metro,rolo,conjunto",plaxmatic 9 9 l detergente umectante p  roupas
litro,"litro,grama,unidade,comp,kg,conjunto,rolo,caixa,metro,frasco",creme protetor solar fps 9 9 l
litro,"unidade,litro,frasco,grama,caixa,metro,comp,ampola,kg,m3",removed cera becker tira facil c 9 lt 9
litro,"grama,comp,conjunto,kit,unidade,litro,metro,galao,m3,ampola",becker clor ltq bb 9 lt becker 
litro,"litro,comp,unidade,grama,metro,conjunto,frasco,ampola,m3,rolo",sabonete liquido 9 lt
litro,"litro,grama,unidade,comp,metro,frasco,conjunto,caixa,rolo,ampola",saco para lixo preto 9 l
litro,"litro,unidade,frasco,metro,ampola,kit,comp,grama,caixa,galao",liex 9 9 l detergente neutro uso geral
litro,"litro,unidade,comp,grama,metro,galao,ampola,kg,frasco,caixa",detergente de piso sempre limpo 9 lt
litro,"litro,comp,unidade,grama,frasco,ampola,conjunto,caixa,metro,rolo",iguatemi floral bb 9 l desinfetante liquido
litro,"litro,unidade,comp,metro,grama,ampola,galao,caixa,kg,frasco",desinfetante concentrado caravela 9 lt
litro,"litro,conjunto,grama,comp,caixa,unidade,ampola,metro,galao,kit",tinta rende muito 9 lts ceramica
litro,"litro,grama,comp,unidade,conjunto,rolo,ampola,caixa,galao,metro",viapol ecoprimer manta barrica 9 l
litro,"litro,comp,grama,metro,conjunto,frasco,unidade,rolo,ampola,caixa",refrigerante 9 lt
litro,"comp,litro,unidade,metro,ampola,frasco,grama,caixa,rolo,kg",tinta lux luxcril acrilica 9 lts  azul p
litro,"litro,unidade,comp,grama,galao,metro,conjunto,ampola,caixa,rolo",plaxmatic 9 9 l alvejante l quido
litro,"litro,unidade,comp,frasco,grama,metro,ampola,conjunto,caixa,m3",tinta extralux esm sint 9 l azul del rey 9 lux
litro,"litro,comp,unidade,grama,frasco,metro,conjunto,caixa,ampola,rolo",liex soft 9 l amaciante a base de quatern rio
litro,"litro,comp,conjunto,grama,unidade,metro,caixa,frasco,rolo,kg",coralar acr gl 9 l branco
litro,"litro,unidade,comp,grama,metro,galao,ampola,caixa,kg,rolo",selador acrilico iquine delanil 9 l
litro,"unidade,litro,caixa,grama,comp,frasco,metro,m3,ampola,kg",saco p  lixo infectante 9 l 9 x 9 pct c  9
litro,"litro,comp,metro,unidade,ampola,grama,frasco,caixa,rolo,galao",tinta lux luxcril acrilica 9 lt br neve
litro,"litro,grama,kg,ampola,comp,unidade,metro,conjunto,caixa,galao",coralar esm vermelho 9 l sec rapida
litro,"comp,m3,grama,litro,metro,cilindro,caixa,kit,unidade,kg",rev  ch positivo c 9 lt  9 
litro,"litro,comp,unidade,grama,metro,frasco,caixa,conjunto,rolo,cilindro",extralatex verde limao 9 l
litro,"litro,unidade,frasco,comp,grama,conjunto,metro,caixa,m3,kit",oxig nio med  cil om 9 l
litro,"litro,metro,ampola,comp,unidade,kg,caixa,kit,grama,galao",tinta lux colorir 9 l azul turquesa
litro,"comp,litro,unidade,conjunto,metro,grama,frasco,rolo,ampola,caixa",extralux 9 l branco
litro,"litro,comp,unidade,grama,metro,conjunto,caixa,galao,ampola,rolo",tinta luxcril 9 l branco neve lux
litro,"litro,unidade,frasco,metro,ampola,kit,comp,grama,caixa,galao",liex 9 9 l detergente neutro uso geral
litro,"comp,litro,metro,unidade,grama,conjunto,caixa,rolo,kit,ampola",agua destilada 9 lt galao
litro,"litro,unidade,comp,metro,grama,caixa,conjunto,ampola,cilindro,kg",oleo thf 9 lubrax 9 litros
litro,"litro,grama,unidade,comp,metro,frasco,conjunto,rolo,caixa,ampola",massa corrida 9 l balde
litro,"litro,unidade,comp,grama,conjunto,metro,caixa,frasco,rolo,ampola",lubrax top turbo 9 w 9 9 l
litro,"litro,comp,frasco,metro,conjunto,ampola,grama,unidade,rolo,caixa",fixador p  raio x automatico p 9 lt cx papelao
litro,"litro,unidade,galao,grama,ampola,metro,comp,caixa,rolo,kg",veda bem impermeabilizante azul 9 lt
litro,"litro,comp,grama,unidade,metro,conjunto,caixa,galao,ampola,rolo",tinta luxcril 9 l branco gelo lux
litro,"litro,comp,unidade,grama,metro,conjunto,ampola,frasco,caixa,rolo",spar ht 9 bb 9 lts
litro,"litro,unidade,metro,grama,conjunto,comp,caixa,frasco,rolo,kg",oleo hidraulico 9 c  9 lt
litro,"litro,unidade,comp,grama,metro,kg,ampola,frasco,conjunto,caixa",detergente 9 l fd
litro,"litro,unidade,comp,grama,galao,caixa,metro,conjunto,kit,ampola",massa corri 9 lt diatex iquine
litro,"litro,comp,unidade,metro,grama,frasco,caixa,conjunto,ampola,rolo",liex soft 9 l amaciante base de quatern rio
litro,"litro,comp,unidade,grama,conjunto,metro,frasco,rolo,ampola,m3",garrafa pet cp 9 l ct
litro,"litro,comp,metro,unidade,grama,frasco,ampola,caixa,rolo,galao",fixador p raio x galao c  9 litros p preparar 9 l marca hexa fotoq
litro,"litro,unidade,metro,grama,comp,conjunto,caixa,frasco,ampola,rolo",saco p  lixo preto 9 lts
litro,"comp,litro,metro,grama,unidade,conjunto,caixa,kit,rolo,cilindro",esm extralux 9 l cinza medio
litro,"litro,comp,ampola,frasco,metro,unidade,caixa,grama,conjunto,rolo",tinta iquine pintalar vinil acr 9 l perola
litro,"litro,unidade,metro,caixa,comp,ampola,frasco,grama,kg,m3",tinta acril int bd plast 9 l bco neve 9
litro,"litro,comp,unidade,grama,metro,conjunto,ampola,m3,caixa,frasco",desinfetante 9 lt max
litro,"litro,comp,unidade,metro,grama,frasco,ampola,caixa,rolo,conjunto",tinta lux luxcril acrilica 9 lts  br gel
litro,"litro,unidade,comp,metro,galao,grama,ampola,caixa,kg,frasco",saco para lixo branco hospitalar 9 lt
m3,"m3,caixa,metro,kg,comp,unidade,frasco,grama,litro,cilindro",oxigenio 9 m 9
m3,"m3,frasco,unidade,caixa,litro,grama,conjunto,comp,metro,ampola",oxido nitroso cil linde 9 l 9 kg vz onu 9 oxido nitroso  comprimido 9 9 9
m3,"m3,caixa,metro,kg,comp,unidade,frasco,grama,litro,cilindro",oxigenio 9 m 9
m3,"m3,caixa,metro,kg,comp,unidade,frasco,grama,litro,cilindro",oxigenio 9 m 9
m3,"m3,comp,unidade,litro,caixa,grama,conjunto,frasco,metro,ampola",ar comprimido 9 m 9
m3,"unidade,litro,frasco,comp,caixa,grama,m3,metro,ampola,kg",oxig nio med  em cil  9 m 9 9 9 na 9 onu
m3,"m3,caixa,kg,grama,litro,metro,comp,conjunto,unidade,cilindro",cilindro de oxig nio de 9 m 9
m3,"m3,grama,ampola,comp,conjunto,caixa,kg,litro,kit,unidade",oxigenio medicinal cil k 9 m 9  
m3,"m3,caixa,metro,kg,comp,unidade,frasco,grama,litro,cilindro",oxigenio 9 m 9
m3,"caixa,m3,unidade,frasco,litro,comp,grama,metro,ampola,kg",oxigenio med cil linde 9 l 9 m 9 vz onu 9 oxigenio  comprimido 9 9 9
m3,"unidade,litro,conjunto,metro,caixa,m3,ampola,grama,comp,kg",ar comprimido cil linde 9 l 9 m 9 vz onu 9 ar comprimido 9 9
m3,"m3,comp,grama,metro,caixa,kit,kg,ampola,cilindro,conjunto",cilindro de oxig nio de 9 m 
m3,"unidade,ampola,litro,caixa,m3,kg,grama,metro,frasco,kit",oxig nio med cil om 9 m 9 onu 9 9 9 9
m3,"m3,caixa,litro,unidade,conjunto,grama,comp,kg,metro,kit",oxigenio medicinal cil t 9 m 9
m3,"comp,m3,grama,metro,caixa,kit,ampola,frasco,kg,unidade",ar medicinal cil k 9 m 9  
m3,"m3,grama,comp,unidade,caixa,kit,conjunto,litro,kg,ampola",oxigenio medicinal cil 9 m 9  
m3,"m3,caixa,metro,kg,comp,unidade,frasco,grama,litro,cilindro",oxigenio 9 m 9
m3,"m3,metro,comp,kg,caixa,frasco,grama,unidade,kit,ampola",oxigenio 9 m 
